관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
경기도 시흥시청,경기도 시흥시 수인로2421번길 26,경기도 시흥시 논곡동  227-2,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3926091,126.8552644,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우순환로 117-7,경기도 시흥시 정왕본동 2245-3,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.3572234,126.7518854,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로2793번길 6,경기도 시흥시 도창동 118,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4067205,126.8237922,2017-01-01
경기도 시흥시청,,경기도 시흥시 도창동 98-4,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4099708,126.8222935,2017-01-01
경기도 시흥시청,경기도 시흥시 매화1로 62,경기도 시흥시 매화동 303-1,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.4161839,126.8084633,2017-01-01
경기도 시흥시청,경기도 시흥시 매화1로 42,경기도 시흥시 매화동  332-7,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4151868,126.8103298,2017-01-01
경기도 시흥시청,경기도 시흥시 매화1로 5,경기도 시흥시 매화동 250-1,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.415247,126.814159,2017-01-01
경기도 시흥시청,경기도 시흥시 능곡중앙로 22,경기도 시흥시 능곡동 797,어린이보호,1,130,360도 전방면,30,2017-01,031-310-3702,37.3653376,126.8125795,2017-01-01
경기도 시흥시청,경기도 시흥시 대골안길 23-1,경기도 시흥시 대야동 456-3,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.4472355,126.7893524,2017-01-01
경기도 시흥시청,경기도 시흥시 마유로238번길 33,경기도 시흥시 정왕1동 1278-7,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.337033,126.7320584,2017-01-01
경기도 시흥시청,경기도 시흥시 대골길 34,경기도 시흥시 대야동 451-9,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4480991,126.7886267,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로2431번길 15,경기도 시흥시 논곡동 270-3,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3947712,126.8550118,2017-01-01
경기도 시흥시청,,경기도 시흥시 신천동 60-5,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4347412,126.7858287,2017-01-01
경기도 시흥시청,경기도 시흥시 호현로49번길 30,경기도 시흥시 신천동 719-13,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.443933,126.7818245,2017-01-01
경기도 시흥시청,경기도 시흥시 삼미시장2길 13,경기도 시흥시 신천동 743-1,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.4410764,126.7816295,2017-01-01
경기도 시흥시청,경기도 시흥시 승지로 110,경기도 시흥시 능곡동 550,어린이보호,1,130,360도 전방면,30,2017-01,031-310-3702,37.3725006,126.8125162,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로3325번길 47-4,경기도 시흥시 신천동 868,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.4350188,126.7898504,2017-01-01
경기도 시흥시청,경기도 시흥시 복지로53번길 9,경기도 시흥시 대야동 488-6,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.4444046,126.7884112,2017-01-01
경기도 시흥시청,경기도 시흥시 호현로103번길 13,경기도 시흥시 대야동 461-11,쓰레기단속,1,41,쓰레기투기지역,7,2017-01,031-310-2683,37.4476818,126.7870457,2017-01-01
경기도 시흥시청,경기도 시흥시 시청로72번길 13,경기도 시흥시 장현동 535-4,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3814999,126.8005815,2017-01-01
경기도 시흥시청,,경기도 시흥시 논곡동  산 28,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.387135,126.858595,2017-01-01
경기도 시흥시청,경기도 시흥시 시청로 78,경기도 시흥시 장현동 538-1,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3811371,126.7991937,2017-01-01
경기도 시흥시청,,경기도 시흥시 정왕본동 2253,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.357831,126.7532492,2017-01-01
경기도 시흥시청,,경기도 시흥시 정왕본동 1825-2,기타,3,130,360도 전방면,30,2017-12,031-310-3702,37.348387,126.7446692,2017-01-01
경기도 시흥시청,경기도 시흥시 장곡로70번길 12,경기도 시흥시 장곡동 797,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3811057,126.7816929,2017-01-01
경기도 시흥시청,경기도 시흥시 장곡로70번길 7-3,경기도 시흥시 장곡동 801-2,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3800766,126.7806571,2017-01-01
경기도 시흥시청,,경기도 시흥시 논곡동  산35-8,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.387641,126.858763,2017-01-01
경기도 시흥시청,경기도 시흥시 대은로103번길 24,경기도 시흥시 대야동 584,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4473225,126.7977939,2017-01-01
경기도 시흥시청,,경기도 시흥시 대야동 88-1,교통정보수집,2,130,고정촬영,30,2017-10,031-310-3702,37.4554318,126.7878259,2017-01-01
경기도 시흥시청,,경기도 시흥시 군자동 산 44-9,교통정보수집,1,130,고정촬영,30,2017-10,031-310-3702,37.354473,126.802471,2017-01-01
경기도 시흥시청,,경기도 시흥시 목감동 27-2,교통정보수집,2,130,고정촬영,30,2017-10,031-310-3702,37.4008549,126.8718164,2017-01-01
경기도 시흥시청,,경기도 시흥시 신천동 177-5,교통정보수집,1,130,고정촬영,30,2017-10,031-310-3702,37.4321024,126.7864352,2017-01-01
경기도 시흥시청,,경기도 시흥시 계수동 83-1,교통정보수집,1,130,고정촬영,30,2017-10,031-310-3702,37.4584316,126.8138809,2017-01-01
경기도 시흥시청,경기도 시흥시 금화로 201,경기도 시흥시 산현동 산 57-11,교통정보수집,1,130,고정촬영,30,2017-10,031-310-3702,37.3647239,126.8294911,2017-01-01
경기도 시흥시청,경기도 시흥시 공단3대로 345,경기도 시흥시 정왕동 2206-14,교통정보수집,1,130,고정촬영,30,2017-10,031-310-3702,37.3154783,126.7232801,2017-01-01
경기도 시흥시청,경기도 시흥시 공단1대로 341,경기도 시흥시 정왕동 1289-6,교통정보수집,2,130,고정촬영,30,2017-10,031-310-3702,37.3308109,126.7377563,2017-01-01
경기도 시흥시청,경기도 시흥시 공단2대로 336,경기도 시흥시 정왕동 2192-3,교통정보수집,2,130,고정촬영,30,2017-10,031-310-3702,37.3193405,126.7257816,2017-01-01
경기도 시흥시청,경기도 시흥시 나분들길 78,경기도 시흥시 광석동 115-1,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.3851891,126.8196542,2017-01-01
경기도 시흥시청,경기도 시흥시 시흥대로1065번길 24-6,경기도 시흥시 신천동  875-21,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4315504,126.7901088,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로12번안길 24-13,경기도 시흥시 정왕1동  1406-1,생활방범,4,200,360도 전방면,30,2017-10,031-310-3702,37.3406111,126.7530015,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로3325번길 35-2,경기도 시흥시 신천동  859-1,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4355484,126.7887755,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕시장길 35-1,경기도 시흥시 정왕1동 1583,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3442207,126.7471663,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로 67-8,경기도 시흥시 정왕본동 1512,기타,3,200,360도 전방면,30,2017-10,031-310-3702,37.3437487,126.7539955,2017-01-01
경기도 시흥시청,,경기도 시흥시 정왕본동 211,생활방범,3,200,360도 전방면,30,2017-06,031-310-3702,37.3647461,126.7557775,2017-01-01
경기도 시흥시청,경기도 시흥시 역전로 369,경기도 시흥시 정왕2동 1872-3,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3576094,126.7347838,2017-01-01
경기도 시흥시청,경기도 시흥시 호현로63번길 10-7,경기도 시흥시 대야동 479-7,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4467692,126.7856584,2017-01-01
경기도 시흥시청,경기도 시흥시 포도원로 88,경기도 시흥시 신천동 203,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.434881,126.7829358,2017-01-01
경기도 시흥시청,경기도 시흥시 나분들길 44,경기도 시흥시 광석동  96-1,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.3875571,126.8185983,2017-01-01
경기도 시흥시청,,경기도 시흥시 산현동 312-2,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3752252,126.8326056,2017-01-01
경기도 시흥시청,경기도 시흥시 군자로477번안길 10-10,경기도 시흥시 거모동  1722-1,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.348611,126.7837746,2017-01-01
경기도 시흥시청,경기도 시흥시 대골안길 58,경기도 시흥시 대야동  487-11,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4446553,126.7875517,2017-01-01
경기도 시흥시청,경기도 시흥시 군자로466번길 7,경기도 시흥시 거모동  1730-15,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3471379,126.7818828,2017-01-01
경기도 시흥시청,경기도 시흥시 군자로533번길 11-15,경기도 시흥시 거모동  1758-1,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3448658,126.785941,2017-01-01
경기도 시흥시청,경기도 시흥시 대야로3번길 7-1,경기도 시흥시 대야동  489-1,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4440431,126.7877681,2017-01-01
경기도 시흥시청,경기도 시흥시 호현로 24,경기도 시흥시 신천동 707-72,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4423528,126.7848575,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕시장길 51,경기도 시흥시 정왕본동 1203,생활방범,1,41,360도 전방면,30,2017-06,031-310-3702,37.3457193,126.7485042,2017-01-01
경기도 시흥시청,,경기도 시흥시 신천동 595-45,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4429319,126.7719171,2017-01-01
경기도 시흥시청,경기도 시흥시 문화마을로6번길 1,경기도 시흥시 신천동 723-16,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4428209,126.7797711,2017-01-01
경기도 시흥시청,,경기도 시흥시 신천동 850-10,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4356336,126.7860521,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕천로375번길 52-1,경기도 시흥시 정왕1동 1571-3,생활방범,1,41,360도 전방면,30,2017-06,031-310-3702,37.3444985,126.7464431,2017-01-01
경기도 시흥시청,,경기도 시흥시 포동 13-3,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4073275,126.7830502,2017-01-01
경기도 시흥시청,,경기도 시흥시 정왕4동 1877-3,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3632245,126.7355878,2017-01-01
경기도 시흥시청,경기도 시흥시 군자로465번길 7,경기도 시흥시 거모동 1379,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.3486969,126.7820475,2017-01-01
경기도 시흥시청,경기도 시흥시 시흥대로 1059,경기도 시흥시 신천동 889-6,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4305182,126.7923036,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕대로53번길 38,경기도 시흥시 정왕3동 1866-1,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.357527,126.7263863,2017-01-01
경기도 시흥시청,경기도 시흥시 군자로 539,경기도 시흥시 거모동 1577-1,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3438592,126.7873545,2017-01-01
경기도 시흥시청,,경기도 시흥시 포동 20-109,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4049909,126.7720224,2017-01-01
경기도 시흥시청,경기도 시흥시 대은로104번길 29-10,경기도 시흥시 은행동 545,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4423543,126.8008585,2017-01-01
경기도 시흥시청,경기도 시흥시 매화2로23번길 12-1,경기도 시흥시 매화동 226,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.4164129,126.8108011,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로3402번길 6,경기도 시흥시 신천동  715,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4422114,126.7814679,2017-01-01
경기도 시흥시청,경기도 시흥시 금오로 103,경기도 시흥시 무지내동  341-2,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4132755,126.8394889,2017-01-01
경기도 시흥시청,,경기도 시흥시 무지내동  35-24,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4239392,126.8364607,2017-01-01
경기도 시흥시청,경기도 시흥시 역전로301번길 10-20,경기도 시흥시 정왕2동 2305-39,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3522191,126.7378052,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로8번안길 17,경기도 시흥시 정왕1동  1420-6,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3389725,126.7535824,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우재로61번길 24-3,경기도 시흥시 정왕동 1814-2,쓰레기단속,1,200,쓰레기투기지역,7,2017-07,031-310-3108,37.3492778,126.7441132,2017-01-01
경기도 시흥시청,경기도 시흥시 역전로 313,경기도 시흥시 정왕2동  2305-13,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3528856,126.737691,2017-01-01
경기도 시흥시청,경기도 시흥시 도일로112번길 5-10,경기도 시흥시 거모동 1772-17,쓰레기단속,1,41,쓰레기투기지역,30,2017-09,031-310-3108,37.3410879,126.7845299,2017-01-01
경기도 시흥시청,경기도 시흥시 검바위1로 10,경기도 시흥시 은행동 320-9,쓰레기단속,1,41,쓰레기투기지역,30,2017-09,031-310-3108,37.429603,126.794498,2017-01-01
경기도 시흥시청,경기도 시흥시 오이도중앙로5번길 6-1,경기도 시흥시 정왕3동 1982-14,생활방범,4,200,360도 전방면,30,2017-12,031-310-3702,37.3472499,126.6915282,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔공원로7번길 10,경기도 시흥시 정왕본동 1530-11,생활방범,4,200,360도 전방면,30,2017-12,031-310-3702,37.3434735,126.7559713,2017-01-01
경기도 시흥시청,경기도 시흥시 군서마을로 60,경기도 시흥시 정왕동 1210-11,쓰레기단속,1,41,쓰레기투기지역,30,2017-01,031-310-3108,37.346533,126.7456349,2017-01-01
경기도 시흥시청,경기도 시흥시 군서로10번길 42,경기도 시흥시 정왕본동 1168-13,생활방범,1,200,360도 전방면,30,2017-09,031-310-3702,37.3468377,126.7533082,2017-01-01
경기도 시흥시청,경기도 시흥시 군서로46번길 8-1,경기도 시흥시 정왕본동 1205,생활방범,1,200,360도 전방면,30,2017-11,031-310-3702,37.3465018,126.7478583,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로56번길 9-1,경기도 시흥시 정왕본동 1548-5,생활방범,1,200,360도 전방면,30,2017-11,031-310-3702,37.3416141,126.7543637,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로8번안길 3,경기도 시흥시 정왕1동 1427-7,생활방범,1,200,360도 전방면,30,2017-11,031-310-3702,37.337889,126.7525027,2017-01-01
경기도 시흥시청,경기도 시흥시 월곶중앙로 18,경기도 시흥시 월곶동 994-2,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.3873611,126.7430225,2017-01-01
경기도 시흥시청,경기도 시흥시 함송로29번길 31,경기도 시흥시 정왕4동 1878-3,어린이보호,1,130,360도 전방면,30,2017-03,031-310-3702,37.3652457,126.732894,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우재로51번길 22,경기도 시흥시 정왕본동 1829-3,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3482765,126.7436087,2017-01-01
경기도 시흥시청,경기도 시흥시 큰솔로28번길 9,경기도 시흥시 정왕1동 1405-4,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3400886,126.7530258,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우재로11번길 10,경기도 시흥시 정왕1동 1616-9,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3446958,126.7419395,2017-01-01
경기도 시흥시청,경기도 시흥시 호현로49번길 3,경기도 시흥시 신천동 704-4,어린이보호,1,200,360도 전방면,30,2017-06,031-310-3702,37.4443528,126.7847161,2017-01-01
경기도 시흥시청,경기도 시흥시 신천천동로 13,경기도 시흥시 신천동 765,기타,1,200,360도 전방면,30,2017-06,031-310-3702,37.438687,126.7855235,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우재로30번길 11,경기도 시흥시 정왕1동 1578-3,생활방범,1,200,360도 전방면,30,2017-11,031-310-3702,37.3449457,126.7449406,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕천로359번길 53,경기도 시흥시 정왕1동 1594-6,생활방범,1,200,360도 전방면,30,2017-11,031-310-3702,37.3434739,126.7435011,2017-01-01
경기도 시흥시청,경기도 시흥시 중심상가로 193,경기도 시흥시 정왕2동 1737-17,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3443053,126.7365239,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로3413번길 29,경기도 시흥시 신천동 749-18,생활방범,2,200,360도 전방면,30,2017-04,031-310-3702,37.439575,126.778583,2017-01-01
경기도 시흥시청,경기도 시흥시 함송로 23,경기도 시흥시 정왕4동 1881-8,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3635023,126.730971,2017-01-01
경기도 시흥시청,경기도 시흥시 신천로19번길 32,경기도 시흥시 신천동 872-15,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.4307668,126.7902692,2017-01-01
경기도 시흥시청,경기도 시흥시 하중로 211,경기도 시흥시 하중동 861-1,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3929692,126.8055759,2017-01-01
경기도 시흥시청,경기도 시흥시 마산로 154,경기도 시흥시 조남동 516-1,생활방범,1,200,360도 전방면,30,2017-04,031-310-3702,37.3678655,126.8611042,2017-01-01
경기도 시흥시청,경기도 시흥시 매화로 66,경기도 시흥시 매화동 259-1,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4136075,126.8143551,2017-01-01
경기도 시흥시청,경기도 시흥시 공단1대로 229,경기도 시흥시 정왕1동 1366-12,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3370042,126.7273868,2017-01-01
경기도 시흥시청,경기도 시흥시 군자천로 333,경기도 시흥시 정왕2동 1729-3,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3464178,126.7343383,2017-01-01
경기도 시흥시청,경기도 시흥시 매화1로 62,경기도 시흥시 매화동 303-1,어린이보호,1,200,360도 전방면,30,2017-06,031-310-3702,37.4161839,126.8084633,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕대로 78,경기도 시흥시 정왕3동 1861-8,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3531988,126.7249687,2017-01-01
경기도 시흥시청,경기도 시흥시 동서로1051번길 8-3,경기도 시흥시 조남동 174-15,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3829989,126.8580948,2017-01-01
경기도 시흥시청,,경기도 시흥시 정왕3동 2006-1,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3448618,126.6879493,2017-01-01
경기도 시흥시청,경기도 시흥시 오이도로 165,경기도 시흥시 정왕3동 2003-24,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3460877,126.6881699,2017-01-01
경기도 시흥시청,경기도 시흥시 월곶해안로 63,경기도 시흥시 월곶동 1010-2,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3923862,126.7378106,2017-01-01
경기도 시흥시청,,경기도 시흥시 죽율동 627,어린이보호,3,200,360도 전방면,30,2017-12,031-310-3702,37.3495307,126.7570801,2017-01-01
경기도 시흥시청,경기도 시흥시 월곶해안로 29-8,경기도 시흥시 월곶동 991-4,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3942195,126.7397239,2017-01-01
경기도 시흥시청,경기도 시흥시 복지로 88,경기도 시흥시 대야동 423-2,생활방범,3,200,360도 전방면,30,2017-12,031-310-3702,37.4464643,126.7914113,2017-01-01
경기도 시흥시청,,경기도 시흥시 과림동 과림동 441-2,교통정보수집,2,130,고정촬영,30,2017-12,031-310-3702,37.439856,126.8337135,2017-01-01
경기도 시흥시청,,경기도 시흥시 신천동 신천동 702번지,기타,3,200,360도 전방면,30,2017-09,031-310-3702,37.4441859,126.7821627,2017-01-01
경기도 시흥시청,,경기도 시흥시 능곡동 777,기타,3,130,360도 전방면,30,2017-12,031-310-3702,37.3654964,126.8104907,2017-01-01
경기도 시흥시청,경기도 시흥시 매화1로 53,경기도 시흥시 매화동 314-5,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.415103,126.808692,2017-01-01
경기도 시흥시청,,경기도 시흥시 미산동 204-8,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.4230199,126.7862693,2017-01-01
경기도 시흥시청,경기도 시흥시 대골길 63-2,경기도 시흥시 대야동 474-9,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.4457716,126.7870173,2017-01-01
경기도 시흥시청,경기도 시흥시 수인로3402번길 14-1,경기도 시흥시 신천동  314-90,어린이보호,1,200,360도 전방면,30,2017-03,031-310-3702,37.4430759,126.7812168,2017-01-01
경기도 시흥시청,,경기도 시흥시 거모동  1534-7,생활방범,3,200,360도 전방면,30,2017-10,031-310-3702,37.3424702,126.7816595,2017-01-01
경기도 시흥시청,경기도 시흥시 새재로7번길 21,경기도 시흥시 장현동 537-1,생활방범,1,200,360도 전방면,30,2017-02,031-310-3702,37.3813899,126.7995204,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕대로233번길 8,경기도 시흥시 정왕본동 1621,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.3456376,126.7400064,2017-01-01
경기도 시흥시청,경기도 시흥시 정왕천로355번길 2,경기도 시흥시 정왕본동 1439-8,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.3404743,126.7480253,2017-01-01
경기도 시흥시청,경기도 시흥시 봉우재로36번길 5,경기도 시흥시 정왕본동 1575-11,생활방범,1,200,360도 전방면,30,2017-02,031-310-3702,37.3458378,126.7449714,2017-01-01
경기도 시흥시청,경기도 시흥시 도일로135번길 9,경기도 시흥시 거모동 1752-3,생활방범,1,200,360도 전방면,30,2017-06,031-310-3702,37.3427531,126.7835772,2017-01-01
경기도 시흥시청,경기도 시흥시 금오로 119,경기도 시흥시 무지내동 342-1,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.4146355,126.8391019,2017-01-01
경기도 시흥시청,,경기도 시흥시 계수동 627,생활방범,3,200,360도 전방면,30,2017-03,031-310-3702,37.442548,126.8145424,2017-01-01
